"MatchIndex","Team"
7759,"Carmelo Hayes & The Miz"
7757,"Angelo Dawkins & Montez Ford"
7757,"Johnny Gargano & Tommaso Ciampa"
7756,"Jacob Fatu, Jimmy Uso & Sami Zayn"
7756,"JC Mateo, Solo Sikoa & Tonga Loa"
7755,"Cutler James, Dion Lennox, Osiris Griffin & Saquon Shugars"
7755,"Je'Von Evans, Moose    , Oba Femi & Trick Williams"
7753,"Fallon Henley & Jacy Jayne"
7753,"Kelani Jordan & Lola Vice"
7751,"Bron Breakker & Bronson Reed"
7751,"CM Punk & LA Knight"
7749,"AJ Styles & Dragon Lee"
7749,"Dominik Mysterio & El Grande Americano"
7745,"Cappuccino Jones & Jack Cartwheel"
7745,"Harley Riggins & Jax Presley"
7744,"Aaron Rourke & Marcus Mathers"
7744,"It's GAL & Jamar Hampton"
7743,"Brad Baylor, Bryce Donovan, Ricky Smokes & Zayda Steel"
7743,"Dante Chen, Drako Knox, Sean Legacy & Tyra Mae Steele"
7732,"Cody Rhodes & John Cena"
7732,"Drew McIntyre & Logan Paul"
7729,"Alex Shelley & Chris Sabin"
7729,"JC Mateo & Talla Tonga"
7723,"Cruz Del Toro & Joaquin Wilde"
7723,"Erik & Ivar"
7719,"Alexa Bliss & Charlotte Flair"
7719,"Raquel Rodriguez & Roxanne Perez"
7716,"Alex Shelley & Chris Sabin"
7716,"Andrade & Rey Fenix, Angelo Dawkins & Montez Ford, Axiom & Nathan Frazer,Dexter Lumis & Joe Gacy, Johnny Gargano & Tommaso Ciampa"
7711,"Bron Breakker & Bronson Reed"
7711,"Jey Uso & Roman Reigns"
7710,"Alexa Bliss & Charlotte Flair"
7710,"Raquel Rodriguez & Roxanne Perez"
7707,"Drew McIntyre & Logan Paul"
7707,"Jelly Roll & Randy Orton"
7702,"Angel    & Berto"
7702,"Mr. Iguana & Psycho Clown"
7698,"Alba Fyre, Chelsea Green, Naomi & Piper Niven"
7698,"IYO SKY, Nikki Bella, Rhea Ripley & Stephanie Vaquer"
7696,"Karmen Petrovic & Lainey Reid"
7696,"Maxxine Dupri & Natalya"
7695,"AJ Styles, Asuka & Kairi Sane"
7695,"Dominik Mysterio, Raquel Rodriguez & Roxanne Perez"
7694,"Cruz Del Toro & Joaquin Wilde"
7694,"Finn Balor & JD McDonagh"
7690,"Andrade & Rey Fenix"
7690,"Dexter Lumis & Joe Gacy"
7687,"Hank Walker, Sol Ruca, Tank Ledger & Zaria"
7687,"Izzi Dame, Niko Vance, Shawn Spears & Tatum Paxley"
7683,"Brutus Creed & Julius Creed"
7683,"Cruz Del Toro & Joaquin Wilde, Kofi Kingston & Xavier Woods"
7682,"Bayley & Lyra Valkyria"
7682,"Raquel Rodriguez & Roxanne Perez"
7678,"Alex Shelley & Chris Sabin"
7678,"Andrade & Rey Fenix, Axiom & Nathan Frazer, Johnny Gargano & Tommaso Ciampa"
7674,"Aaron Rourke & Marcus Mathers"
7674,"Brad Baylor & Ricky Smokes"
7668,"Fallon Henley, Jacy Jayne & Jazmyn Nyx"
7668,"Masha Slamovich, Sol Ruca & Zaria"
7666,"Dion Lennox, Osiris Griffin & Saquon Shugars"
7666,"Joe Hendry, Mike Santana & Trick Williams"
7662,"Asuka & Kairi Sane"
7662,"Raquel Rodriguez & Roxanne Perez"
7654,"Alexa Bliss & Charlotte Flair"
7654,"Asuka & Kairi Sane, Raquel Rodriguez & Roxanne Perez, Sol Ruca & Zaria"
7649,"Blake Monroe & Jordynne Grace"
7649,"Fallon Henley & Jacy Jayne"
7643,"JC Mateo & Solo Sikoa"
7643,"Jimmy Uso & LA Knight"
7641,"Angelo Dawkins & Montez Ford"
7641,"Dexter Lumis & Joe Gacy"
7640,"Hank Walker & Tank Ledger"
7640,"Niko Vance & Shawn Spears"
7638,"Brad Baylor, Jackson Drake & Ricky Smokes"
7637,"Joe Hendry & Mike Santana"
7637,"Tyriek Igwe & Tyson Dupont"
7636,"Cruz Del Toro & Joaquin Wilde"
7636,"Erik & Ivar"
7629,"Finn Balor & JD McDonagh"
7629,"Kofi Kingston & Xavier Woods"
7628,"Bron Breakker & Bronson Reed"
7628,"Penta & Sami Zayn"
7626,"Andrade & Rey Fenix"
7626,"Axiom & Nathan Frazer"
7625,"Alba Fyre & Piper Niven"
7625,"Alexa Bliss & Charlotte Flair, B-Fab & Michin"
7624,"Berto , Chris Sabin, Johnny Gargano & Montez Ford"
7624,"Dexter Lumis, Erick Rowan, Joe Gacy & Uncle Howdy"
7622,"Jacob Fatu & Jimmy Uso"
7622,"JC Mateo & Solo Sikoa"
7615,"Andrade & Rey Fenix"
7615,"Johnny Gargano & Tommaso Ciampa"
7614,"Angel    & Berto"
7614,"Axiom & Nathan Frazer"
7612,"Angelo Dawkins & Montez Ford"
7612,"Dexter Lumis & Joe Gacy"
7603,"Izzi Dame & Tatum Paxley"
7603,"Sol Ruca & Zaria"
7596,"Austin Theory & Grayson Waller"
7596,"Erik & Ivar"
7593,"Cappuccino Jones & Jack Cartwheel"
7593,"It's GAL & Sam Holloway"
7587,"Brad Baylor & Ricky Smokes"
7587,"Brooks Jensen & Jordan Oasis"
7577,"AJ Francis, Trick Williams & Wes Lee"
7577,"Elijah  , Josh Briggs & Yoshiki Inamura"
7567,"Alex Shelley & Chris Sabin"
7567,"Dexter Lumis & Joe Gacy"
7562,"Josh Briggs & Yoshiki Inamura"
7562,"Niko Vance & Shawn Spears"
7560,"Luca Crusifino & Tony D'Angelo"
7560,"Tyriek Igwe & Tyson Dupont"
7554,"Cody Rhodes & Jey Uso"
7554,"John Cena & Logan Paul"
7549,"Chik Tormenta & Dalys"
7549,"Lola Vice & Stephanie Vaquer"
7546,"Angel   , Berto  & Santos Escobar"
7546,"El Hijo de Dr. Wagner Jr., Pagano & Psycho Clown"
7545,"Aero Star, Mr. Iguana & Octagon Jr."
7545,"Cruz Del Toro, Dragon Lee   & Lince Dorado"
7543,"Andrade & Penta"
7543,"Brutus Creed & Julius Creed"
7542,"Alexa Bliss, Rhea Ripley & Stephanie Vaquer"
7542,"Giulia, Naomi & Roxanne Perez"
7537,"Brad Baylor, Ethan Page, Jackson Drake & Ricky Smokes"
7537,"Dragon Lee  , Je'Von Evans, Laredo Kid & Sean Legacy"
