"Date","Promotion","Event","EventName","EventType","Location","CityTown","StateProvince","Country"
2021-07-06,"WWE","WWE NXT","WWE NXT #584 - The Great American Bash 2021","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-07-06,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1468","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-07-06,"WWE","WWE Main Event","WWE Main Event #459","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-07-06,"WWE","WWE 205 Live","WWE 205 Live #239","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-07-05,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1467","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-07-05,"WWE","WWE Main Event","WWE Main Event #458","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-07-02,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1141","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-07-01,"WWE","WWE NXT UK","WWE NXT UK #151","Televised","London, England, UK","London","England","UK"
2021-06-29,"WWE","WWE NXT","WWE NXT #583","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-06-29,"WWE","WWE 205 Live","WWE 205 Live #238","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-06-28,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1466","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-06-28,"WWE","WWE Main Event","WWE Main Event #457","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-06-25,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1140","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-06-24,"WWE","WWE NXT UK","WWE NXT UK #150","Televised","London, England, UK","London","England","UK"
2021-06-22,"WWE","WWE NXT","WWE NXT #582","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-06-22,"WWE","WWE 205 Live","WWE 205 Live #237","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
