"Index","Date","Promotion","Match","CageMatchRating","CageMatchRatingVotes","WONStarRating","Opponent.1","Opponent.2"
6552,2024-05-28,"WWE","Charlie Dempsey & Myles Borne vs. Tyriek Igwe & Tyson Dupont",NA,NA,NA,"Charlie Dempsey & Myles Borne","Tyriek Igwe & Tyson Dupont"
6551,2024-05-28,"WWE","Cutler James vs. Uriah Connors",NA,NA,NA,"Cutler James","Uriah Connors"
6550,2024-05-28,"WWE","Michin vs. Tatum Paxley",5.63,67,NA,"Michin","Tatum Paxley"
6549,2024-05-28,"WWE","Ridge Holland vs. Riley Osborne",5.64,58,NA,"Ridge Holland","Riley Osborne"
6548,2024-05-28,"WWE","Edris Enofe & Malik Blade vs. Karl Anderson & Luke Gallows",5.41,55,NA,"Edris Enofe & Malik Blade","Karl Anderson & Luke Gallows"
6547,2024-05-28,"WWE","Je'Von Evans & Trick Williams vs. Joe Coffey & Mark Coffey",6.2,65,NA,"Je'Von Evans & Trick Williams","Joe Coffey & Mark Coffey"
6546,2024-05-27,"WWE","Alba Fyre & Isla Dawn vs. Katana Chance & Kayden Carter",NA,NA,NA,"Alba Fyre & Isla Dawn","Katana Chance & Kayden Carter"
6545,2024-05-27,"WWE","Becky Lynch vs. Liv Morgan",4.19,161,NA,"Becky Lynch","Liv Morgan"
6544,2024-05-27,"WWE","Braun Strowman vs. JD McDonagh",5.26,98,NA,"Braun Strowman","JD McDonagh"
6543,2024-05-27,"WWE","Carlito vs. Rey Mysterio",5.3,95,NA,"Carlito","Rey Mysterio"
6542,2024-05-27,"WWE","Dijak vs. Pete Dunne",6.85,12,NA,"Dijak","Pete Dunne"
6541,2024-05-27,"WWE","Ilja Dragunov vs. Ricochet",7.14,137,3.5,"Ilja Dragunov","Ricochet"
6540,2024-05-25,"WWE","Cody Rhodes vs. Logan Paul",7.97,564,4.25,"Cody Rhodes","Logan Paul"
6539,2024-05-25,"WWE","Becky Lynch vs. Liv Morgan",6.3,495,2.75,"Becky Lynch","Liv Morgan"
6538,2024-05-25,"WWE","Lyra Valkyria vs. Nia Jax",6.08,475,1.5,"Lyra Valkyria","Nia Jax"
6537,2024-05-25,"WWE","Gunther vs. Randy Orton",7.95,623,4.25,"Gunther","Randy Orton"
6536,2024-05-25,"WWE","Bianca Belair & Jade Cargill vs. Candice LeRae & Indi Hartwell",5.3,141,1.75,"Bianca Belair & Jade Cargill","Candice LeRae & Indi Hartwell"
